22-45-01

434/1000, rel loss = 51201.661, time = 1.548 s
435/1000, sim loss = 540.212, time = 0.220 s
436/1000, rel loss = 51092.067, time = 1.537 s
437/1000, sim loss = 539.824, time = 0.219 s
438/1000, rel loss = 50968.936, time = 1.548 s
439/1000, sim loss = 539.432, time = 0.223 s
440/1000, rel loss = 50847.245, time = 1.544 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3665  0.695   0.8633  0.9095], mean = 80.296, mrr = 0.477, time = 5.605 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3845  0.6879  0.8404  0.8899], mean = 89.556, mrr = 0.486, time = 5.596 s 
441/1000, sim loss = 539.063, time = 0.223 s
442/1000, rel loss = 50722.595, time = 1.571 s
443/1000, sim loss = 538.681, time = 0.219 s
444/1000, rel loss = 50670.192, time = 1.538 s
445/1000, sim loss = 538.310, time = 0.217 s
446/1000, rel loss = 50609.833, time = 1.574 s
447/1000, sim loss = 537.942, time = 0.219 s
448/1000, rel loss = 50481.471, time = 1.541 s
449/1000, sim loss = 537.579, time = 0.227 s
450/1000, rel loss = 50395.000, time = 1.539 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3661  0.6955  0.8643  0.9105], mean = 79.201, mrr = 0.477, time = 5.603 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3856  0.6858  0.8412  0.8908], mean = 88.418, mrr = 0.487, time = 5.596 s 
451/1000, sim loss = 537.214, time = 0.230 s
452/1000, rel loss = 50290.121, time = 1.549 s
453/1000, sim loss = 536.845, time = 0.225 s
454/1000, rel loss = 50257.634, time = 1.528 s
455/1000, sim loss = 536.483, time = 0.223 s
456/1000, rel loss = 50107.473, time = 1.549 s
457/1000, sim loss = 536.126, time = 0.219 s
458/1000, rel loss = 49993.422, time = 1.550 s
459/1000, sim loss = 535.766, time = 0.221 s
460/1000, rel loss = 49911.181, time = 1.540 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3648  0.6954  0.8631  0.9105], mean = 78.109, mrr = 0.476, time = 5.598 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3845  0.6877  0.8426  0.8917], mean = 87.408, mrr = 0.486, time = 5.591 s 
total time = 638.331 s
